Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,"Tivi trắng đen xưa, hàng trưng bày rất đẹp.",https://www.lazada.vn/products/tivi-trang-den-xua-hang-trung-bay-rat-dep-i2264971419.html,1.750.000 ₫,,,,Phú Yên,,212.600 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,Bo xử lý Android Tivi Casper 43 inch 43FG5000 - 43FG5100 (hàng tháo máy),https://www.lazada.vn/products/bo-xu-ly-android-tivi-casper-43-inch-43fg5000-43fg5100-hang-thao-may-i2628865574.html,650.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,,Nhà bán hàng mới,75%,100%,['0'],['0'],['0'],['0'],['0']
tivi,Google Tivi Xiaomi A Pro 4K 55 Inch L55M8-A2SEA ( Mới 2023) - CHÍNH HÃNG 100%,https://www.lazada.vn/products/google-tivi-xiaomi-a-pro-4k-55-inch-l55m8-a2sea-moi-2023-chinh-hang-100-i2396944282.html,8.011.000 ₫,,28 Đã bán,(10),Hồ Chí Minh,11.490.000 ₫,,,97%,Không đủ thông tin,78%,['0'],['0'],['0'],['0'],['11']
tivi,Tivi Xiaomi EA43 2022 Series (1Gb + 8Gb)/60Hz - CHÍNH HÃNG 100%,https://www.lazada.vn/products/tivi-xiaomi-ea43-2022-series-1gb-8gb60hz-chinh-hang-100-i2314759066.html,3.958.000 ₫,,5 Đã bán,(3),Hồ Chí Minh,6.990.000 ₫,,,97%,Không đủ thông tin,78%,['0'],['0'],['0'],['0'],['3']
tivi,Smart Tivi Samsung 4K 55 inch UA55TU6900 2020 DEMEN,https://www.lazada.vn/products/smart-tivi-samsung-4k-55-inch-ua55tu6900-2020-demen-i2429195340.html,6.510.000 ₫,,,,Hà Nội,,2.689.300 ₫,,Không đủ thông tin,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,THU THẬP VOUCHER...[HCM][Siêu rẻ]SẢN PHẨM MỚI TIVI HIỆU JINGZHAN 19 INCH D9 HÌNH ẢNH SẮC NÉT HÀNG CHÍNH HÃNG BẢO HÀNH 1 NĂM,https://www.lazada.vn/products/thu-thap-voucherhcmsieu-resan-pham-moi-tivi-hieu-jingzhan-19-inch-d9-hinh-anh-sac-net-hang-chinh-hang-bao-hanh-1-nam-i1298046653.html,1.799.000 ₫,,276 Đã bán,(134),Hồ Chí Minh,2.399.000 ₫,30.900 ₫,,98%,Không đủ thông tin,100%,['0'],['1'],['1'],['7'],['125']
tivi,[HCM] Smart Tivi Samsung 4K UHD 55 Inch UA55AU7002,https://www.lazada.vn/products/hcm-smart-tivi-samsung-4k-uhd-55-inch-ua55au7002-i2298247670.html,8.580.000 ₫,,,,Hồ Chí Minh,11.900.000 ₫,,30 Ngày Trả Hàng Miễn Phí,100%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,Google Tivi TCL 4K 58 inch 58P635,https://www.lazada.vn/products/google-tivi-tcl-4k-58-inch-58p635-i2306178047.html,7.490.000 ₫,,,,Hồ Chí Minh,10.490.000 ₫,131.600 ₫,,Không đủ thông tin,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,Google Tivi QLED TCL 4K 43 inch 43Q636,https://www.lazada.vn/products/google-tivi-qled-tcl-4k-43-inch-43q636-i2414833906.html,6.200.000 ₫,,,,Hồ Chí Minh,,59.400 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,"Điện Máy Phúc Khang x Samsung | SAMRT TIVI 43"" 50"" 55"" 65"" Inch Crystal UHD 4K Samsung BU8000",https://www.lazada.vn/products/dien-may-phuc-khang-x-samsung-samrt-tivi-43-50-55-65-inch-crystal-uhd-4k-samsung-bu8000-i2632376644.html,8.290.000 ₫,,,,Hồ Chí Minh,9.900.000 ₫,74.700 ₫,30 Ngày Trả Hàng Miễn Phí,Nhà bán hàng mới,100%,66%,['0'],['0'],['0'],['0'],['0']
