title,link_item,price_sale,sale_off,Location,index_,temp_id,total_sold,preview
asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 2 năm,https://www.lazada.vn/products/asus-factory-laptop-mini-100-moi-141-inch-intel-j4105-ram-6gb-ssd-256gb-may-tinh-xach-tay-windows-10-pro-ms-office-notebook-lenovo-factory-bao-hanh-2-nam-i2420326077.html,6.554.998 ₫,"50% Off
Áp dụng voucher",Hồ Chí Minh,29,29.0,33 Đã bán,(19)
Laptop Dell Latitude E7400 Core i5 8265U Ram 8G SSD 256G Màn hình 14” Full HD,https://www.lazada.vn/products/laptop-dell-latitude-e7400-core-i5-8265u-ram-8g-ssd-256g-man-hinh-14-full-hd-i2403355302.html,6.950.000 ₫,,Hồ Chí Minh,30,,,
"Laptop cũ i3 giá rẻ, học tập văn phòng, bán hàng online giá rẻ",https://www.lazada.vn/products/laptop-cu-i3-gia-re-hoc-tap-van-phong-ban-hang-online-gia-re-i2061392774.html,1.200.000 ₫,48% Off,Hồ Chí Minh,31,,,
Mới[Mới 100%]【Lennovo Factory】Monsprin 2024 new Laptop lap top gaming giá rẻ 14 inch 11th gen intel Celeron J4105 RAM 6GB 128GB/256GB SSD Được cài đặt sẵn hệ thống Windows 10 chính hãng và MS Office với ngôn ngữ địa phương tiếng Việt,https://www.lazada.vn/products/moimoi-100lennovo-factorymonsprin-2024-new-laptop-lap-top-gaming-gia-re-14-inch-11th-gen-intel-celeron-j4105-ram-6gb-128gb256gb-ssd-duoc-cai-dat-san-he-thong-windows-10-chinh-hang-va-ms-office-voi-ngon-ngu-dia-phuong-tieng-viet-i1969918462.html,6.999.999 ₫,22% Off,Hồ Chí Minh,32,32.0,91 Đã bán,(49)
🔍 HP Elitebook 830 G5 | Core i5-8350 | RAM 8GB | SSD 256GB | MÀN 13.3” FHD,https://www.lazada.vn/products/hp-elitebook-830-g5-core-i5-8350-ram-8gb-ssd-256gb-man-133-fhd-i2652010243.html,6.800.000 ₫,,Thanh Hóa,33,,,
Laptop Dell Latitude E7270 ram 8G SSD 256G - Core i5 6200u Gọn nhẹ thời trang,https://www.lazada.vn/products/laptop-dell-latitude-e7270-ram-8g-ssd-256g-core-i5-6200u-gon-nhe-thoi-trang-i2302316653.html,3.248.000 ₫,10% Off,Nghệ An,34,34.0,64 Đã bán,(28)
Laptop cũ giá rẻ core i3 i5 i7 nhiều hãng ram 4gb - 8gb,https://www.lazada.vn/products/laptop-cu-gia-re-core-i3-i5-i7-nhieu-hang-ram-4gb-8gb-i1012486722.html,1.799.000 ₫,,Đồng Nai,35,35.0,177 Đã bán,(43)
"Laptop Cũ Rẻ Các Hãng Core i7 / i5 / Ram 8gb / Màn hình 14 - 15.6inch / Làm Văn Phòng, Học Tập Mượt Mà",https://www.lazada.vn/products/laptop-cu-re-cac-hang-core-i7-i5-ram-8gb-man-hinh-14-156inch-lam-van-phong-hoc-tap-muot-ma-i2412244652.html,2.820.000 ₫,37% Off,Hồ Chí Minh,36,36.0,89 Đã bán,(36)
Lenovo Thinkpad / Tosiba / Dell Core i5 / RAM 8GB / SSD 256GB / Màn 12.5 inch HD 1366x768 (Phím JP) Hàng Chính Hãng,https://www.lazada.vn/products/lenovo-thinkpad-tosiba-dell-core-i5-ram-8gb-ssd-256gb-man-125-inch-hd-1366x768-phim-jp-hang-chinh-hang-i2391912424.html,1.990.000 ₫,,Hà Nội,37,37.0,18 Đã bán,(4)
Laptop Lenovo Thinkpad X270 i5-6200U Màn 12 inch NHỎ GỌN THUẬN TIỆN DI CHUYỂN,https://www.lazada.vn/products/laptop-lenovo-thinkpad-x270-i5-6200u-man-12-inch-nho-gon-thuan-tien-di-chuyen-i2148043800.html,4.500.000 ₫,,Hưng Yên,38,38.0,14 Đã bán,(5)
"Laptop MSI MODERN 14 B11MOU i7 11th Gen Ram 8G SSD 512G 14"" FHD",https://www.lazada.vn/products/laptop-msi-modern-14-b11mou-i7-11th-gen-ram-8g-ssd-512g-14-fhd-i2562353288.html,8.500.000 ₫,32% Off,Hồ Chí Minh,39,,,
Lenovo máy tính xách tay mới Intel Celeron N5095 hd 15.6 inch máy tính xách tay RAM16GB bộ nhớ lớn bảo hành 2 năm laptop,https://www.lazada.vn/products/lenovo-may-tinh-xach-tay-moi-intel-celeron-n5095-hd-156-inch-may-tinh-xach-tay-ram16gb-bo-nho-lon-bao-hanh-2-nam-laptop-i2632806854.html,8.079.999 ₫,43% Off,Hải Phòng,40,40.0,20 Đã bán,(4)
