Type,Title,Link_item,Price_sale,Sale_off,Location,index_,Total_sold,Preview,temp_id
laptop,"Dell Latitude 7420 2in1 i7-1165G7, 16GB RAM, 512GB SSD, 14 inch FHD IPS cảm ứng xoay gập 360",https://www.lazada.vn/products/dell-latitude-7420-2in1-i7-1165g7-16gb-ram-512gb-ssd-14-inch-fhd-ips-cam-ung-xoay-gap-360-i2634060781.html,12.990.000 ₫,,Hồ Chí Minh,33,7 Đã bán,(2),33.0
laptop,ThinkPad X1 Carbon Gen 6 Core i5 8250U / RAM 8GB / 512GB SSD / FHD / New 99%,https://www.lazada.vn/products/thinkpad-x1-carbon-gen-6-core-i5-8250u-ram-8gb-512gb-ssd-fhd-new-99-i2393801954.html,4.560.080 ₫,21% Off,Hà Nội,34,7 Đã bán,(3),34.0
laptop,【brand new】Lennovo Factory 2024 new 11th gen CPU Laptop LEGION 15.6 Inch bộ pc giá rẻ Intel Celeron J4125/Core i7 8GB RAM 256GB SSD 1920*1080 Dual band WiFi Gaming Laptop Window 10 Notebook laptop giá rẻ học sinh Chuột Asus miễn phí Camera HD,https://www.lazada.vn/products/brand-newlennovo-factory-2024-new-11th-gen-cpu-laptop-legion-156-inch-bo-pc-gia-re-intel-celeron-j4125core-i7-8gb-ram-256gb-ssd-19201080-dual-band-wifi-gaming-laptop-window-10-notebook-laptop-gia-re-hoc-sinh-chuot-asus-mien-phi-camera-hd-i1826234802.html,7.250.089 ₫,19% Off,Hồ Chí Minh,35,16 Đã bán,(4),35.0
laptop,"[Trả góp]Laptop HP ENVY x360 13-bf0114TU,Core i5-1230U,8GB RAM,512GB SSD,Intel Graphics,13.3""2.8K Touch,Webcam,Pen,Win11 Home 64,Natural Silver,1Y_7C0P0PA - Hàng chính hãng",https://www.lazada.vn/products/tra-goplaptop-hp-envy-x360-13-bf0114tucore-i5-1230u8gb-ram512gb-ssdintel-graphics13328k-touchwebcampenwin11-home-64natural-silver1y_7c0p0pa-hang-chinh-hang-i2134631265.html,26.000.000 ₫,10% Off,Hồ Chí Minh,36,,,
laptop,Laptop HP 15s-fq5228TU - 8U240PA (i3-1215U) (Xanh) - Bảo hành 12 tháng,https://www.lazada.vn/products/laptop-hp-15s-fq5228tu-8u240pa-i3-1215u-xanh-bao-hanh-12-thang-i2311857354.html,10.090.000 ₫,"22% Off
LazTrợ giá
Áp dụng voucher",Hồ Chí Minh,37,23 Đã bán,(3),37.0
laptop,Laptop Dell Latitude E7270 ram 8G SSD 256G - Core i5 6200u Gọn nhẹ thời trang,https://www.lazada.vn/products/laptop-dell-latitude-e7270-ram-8g-ssd-256g-core-i5-6200u-gon-nhe-thoi-trang-i2302316653.html,3.248.000 ₫,10% Off,Nghệ An,38,8 Đã bán,(9),38.0
laptop,Laptop HP 14-em0085AU (835T8PA) (AMD Ryzen 3-7320U) (Bạc) - Bảo hành 12 tháng,https://www.lazada.vn/products/laptop-hp-14-em0085au-835t8pa-amd-ryzen-3-7320u-bac-bao-hanh-12-thang-i2646874171.html,8.890.000 ₫,29% Off,Hồ Chí Minh,39,27 Đã bán,(49),39.0
laptop,"Laptop Cũ Rẻ Các Hãng Core i7 / i5 / Ram 8gb / Màn hình 14 - 15.6inch / Làm Văn Phòng, Học Tập Mượt Mà",https://www.lazada.vn/products/laptop-cu-re-cac-hang-core-i7-i5-ram-8gb-man-hinh-14-156inch-lam-van-phong-hoc-tap-muot-ma-i2412244652.html,2.622.600 ₫,42% Off,Hồ Chí Minh,40,,,
laptop,Lenovo mới máy tính xách tay Intel i7-10510U mỏng và nhẹ 15.6 inch 4K HD màn hình 16+1TB bộ nhớ siêu lớn laptop,https://www.lazada.vn/products/lenovo-moi-may-tinh-xach-tay-intel-i7-10510u-mong-va-nhe-156-inch-4k-hd-man-hinh-161tb-bo-nho-sieu-lon-laptop-i2627808704.html,7.131.799 ₫,52% Off,Hải Phòng,41,,,
laptop,"!!SALE TẾT!LapTop HP Elitebook 830 G5 Core i5 7200U Ram 8gb SSD 256 Màn Hình FullHD (13,3inch) Pin&gt;4h",https://www.lazada.vn/products/sale-tetlaptop-hp-elitebook-830-g5-core-i5-7200u-ram-8gb-ssd-256-man-hinh-fullhd-133inch-pin4h-i2389438598.html,5.338.799 ₫,11% Off,Hà Nội,42,,,
laptop,"Laptop cũ mới 99% HP 840 G3 i5, Ram 8G, SSD 256G Đáp ứng đầy đủ học tập làm việc, giải trí",https://www.lazada.vn/products/laptop-cu-moi-99-hp-840-g3-i5-ram-8g-ssd-256g-dap-ung-day-du-hoc-tap-lam-viec-giai-tri-i744376248.html,5.499.000 ₫,25% Off,Hà Nội,43,,,
laptop,"Laptop Cũ Rẻ i7 7470 Cảm Ứng Ram 8GB SSD Màn hình 14 / Làm Văn Phòng, Học Tập Mượt Mà",https://www.lazada.vn/products/laptop-cu-re-i7-7470-cam-ung-ram-8gb-ssd-man-hinh-14-lam-van-phong-hoc-tap-muot-ma-i2562769782.html,4.200.000 ₫,28% Off,Hồ Chí Minh,44,,,
laptop,Laptop cũ nhiều lựa chọn Pentium đến i3 i5 i7 Giá tốt nhất,https://www.lazada.vn/products/laptop-cu-nhieu-lua-chon-pentium-den-i3-i5-i7-gia-tot-nhat-i2281273112.html,990.000 ₫,1% Off,Hải Dương,45,,,
laptop,[Trả góp 0%]LAPTOP CHƠI FIFA 4 PUBG MOBI PHOTOSHOP - HP 4540s Core i5 3210M/ Ram 16G/ ssd 128G + HDD 1000g / Màn 15.6 inch Phím Số Vỏ hợp kim Nhôm,https://www.lazada.vn/products/tra-gop-0laptop-choi-fifa-4-pubg-mobi-photoshop-hp-4540s-core-i5-3210m-ram-16g-ssd-128g-hdd-1000g-man-156-inch-phim-so-vo-hop-kim-nhom-i1731025093.html,2.300.000 ₫,8% Off,Hà Nội,46,,,
laptop,(XẢ HÀNG) THINKPAD X270 CORE I5 6300U RAM 8G SSD 256G 12.5INCH,https://www.lazada.vn/products/xa-hang-thinkpad-x270-core-i5-6300u-ram-8g-ssd-256g-125inch-i2275643878.html,3.256.000 ₫,45% Off,Hồ Chí Minh,47,,,
laptop,[Trả góp 0%]XẢ HÀNG Thinkpad X250 Core i5 5200U Ram 8G SSD 256G 12.5inch GIÁ RẺ,https://www.lazada.vn/products/tra-gop-0xa-hang-thinkpad-x250-core-i5-5200u-ram-8g-ssd-256g-125inch-gia-re-i1216542221.html,2.900.000 ₫,50% Off,Hồ Chí Minh,48,,,
laptop,"Laptop Dell I3 - 2.4Ghz, ram 8G, cấu hình tốt giá cạnh tranh dùng nhanh mượt, làm việc, học tập, giải trí, tặng chuột và lót chuột",https://www.lazada.vn/products/laptop-dell-i3-24ghz-ram-8g-cau-hinh-tot-gia-canh-tranh-dung-nhanh-muot-lam-viec-hoc-tap-giai-tri-tang-chuot-va-lot-chuot-i1608715112.html,2.350.000 ₫,22% Off,Hà Nội,49,,,
laptop,laptop Toshiba Z930 siêu mỏng - i5 3337u Ram 10GB SSD 256G,https://www.lazada.vn/products/laptop-toshiba-z930-sieu-mong-i5-3337u-ram-10gb-ssd-256g-i1926374288.html,2.689.000 ₫,23% Off,Quảng Trị,50,,,
laptop,"Laptop Dell inspiron 5415(Ryzen R5-5500U, RAM16G, SSD512G, VGA RX Vega 7, 14 inch Full HD IPS)",https://www.lazada.vn/products/laptop-dell-inspiron-5415ryzen-r5-5500u-ram16g-ssd512g-vga-rx-vega-7-14-inch-full-hd-ips-i2601092070.html,5.500.000 ₫,50% Off,Hà Nội,51,,,
laptop,LAPTOP MD313LL/A CORE I5 RAM 8G SSD 256G 13.3INCH GIÁ RẺ,https://www.lazada.vn/products/laptop-md313lla-core-i5-ram-8g-ssd-256g-133inch-gia-re-i2096924660.html,3.730.000 ₫,37% Off,Hồ Chí Minh,52,,,
laptop,Laptop giá rẻ học online | Tặng kèm webcam | Chính hãng qua sử dụng,https://www.lazada.vn/products/laptop-gia-re-hoc-online-tang-kem-webcam-chinh-hang-qua-su-dung-i1609076235.html,1.300.000 ₫,13% Off,Hồ Chí Minh,53,,,
laptop,Laptop cũ giá rẻ hợp túi tiền ram 3gb-4gb-8gb nhiều hãng,https://www.lazada.vn/products/laptop-cu-gia-re-hop-tui-tien-ram-3gb-4gb-8gb-nhieu-hang-i1744152082.html,1.799.000 ₫,,Đồng Nai,54,,,
laptop,Laptop Dell Latitude 7400: Core i5-8265U/ Ram 8GB/ SSD 256GB M2/ 14 Inch FHD tràn viền /Máy zin đẹp 98-99% / (Tặng kèm cặp laptop + chuột không dây+ bàn di chuột),https://www.lazada.vn/products/laptop-dell-latitude-7400-core-i5-8265u-ram-8gb-ssd-256gb-m2-14-inch-fhd-tran-vien-may-zin-dep-98-99-tang-kem-cap-laptop-chuot-khong-day-ban-di-chuot-i2058791422.html,6.570.000 ₫,,Hưng Yên,55,,,
laptop,Laptop cũ giá rẻ cho học sinh ( Core 2 Duo / 2GB / 120GB ) | Xả kho chính hãng,https://www.lazada.vn/products/laptop-cu-gia-re-cho-hoc-sinh-core-2-duo-2gb-120gb-xa-kho-chinh-hang-i988316859.html,1.200.000 ₫,14% Off,Hồ Chí Minh,56,,,
laptop,laptop dell i5,https://www.lazada.vn/products/laptop-dell-i5-i2601054486.html,1.290.000 ₫,,Bình Dương,57,,,
laptop,LapTop Dell Vostro 3405 (P132G002ABL) | AMD Ryzen™ 3 3250U | 8GB | 1TB | AMD Radeon™ Graphics | 14 inch Full HD | Win 10 _ Office Home & Student 2021 | Hàng Chính Hàng Dell Việt Nam,https://www.lazada.vn/products/laptop-dell-vostro-3405-p132g002abl-amd-ryzen-3-3250u-8gb-1tb-amd-radeon-graphics-14-inch-full-hd-win-10-_-office-home-student-2021-hang-chinh-hang-dell-viet-nam-i1625675934.html,9.999.000 ₫,26% Off,Hồ Chí Minh,58,,,
laptop,THINKPAD T480 CORE I7 8565U RAM 16G SSD 256G 14INCH FHD ĐÈN PHÍM,https://www.lazada.vn/products/thinkpad-t480-core-i7-8565u-ram-16g-ssd-256g-14inch-fhd-den-phim-i2661114072.html,6.800.000 ₫,50% Off,Hồ Chí Minh,59,,,
laptop,LAPTOP HP 850 G3 6300U MÀN HÌNH CẢM ỨNG FULL HD 1080 + màn hình rộng phím số + led,https://www.lazada.vn/products/laptop-hp-850-g3-6300u-man-hinh-cam-ung-full-hd-1080-man-hinh-rong-phim-so-led-i2148091426.html,4.200.000 ₫,,Hưng Yên,60,,,
