Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,4.599.000 ₫,13% Off,137 Đã bán,(62),Hồ Chí Minh,5.290.000 ₫,16.500 ₫,99%,100%,76%,2,0,0,1,60
dien thoai,4.590.000 ₫,13% Off,6 Đã bán,(3),Hồ Chí Minh,5.290.000 ₫,Miễn phí,96%,100%,80%,0,0,0,0,3
dien thoai,4.536.040 ₫,,,,Hà Nội,,32.700 ₫,,,,0,0,0,0,0
dien thoai,4.490.000 ₫,10% Off,11 Đã bán,(1),Hồ Chí Minh,4.990.000 ₫,20.100 ₫,99%,99%,95%,0,0,0,0,1
dien thoai,4.390.000 ₫,17% Off,82 Đã bán,(32),Hồ Chí Minh,5.290.000 ₫,16.500 ₫,96%,100%,75%,1,0,0,1,30
dien thoai,4.390.000 ₫,,10 Đã bán,(3),Nam Định,,37.700 ₫,87%,80%,100%,1,0,0,0,2
dien thoai,4.290.000 ₫,32% Off,,,Hồ Chí Minh,6.290.000 ₫,18.300 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,4.270.000 ₫,13% Off,181 Đã bán,(76),Hồ Chí Minh,4.890.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,1,76
dien thoai,4.250.000 ₫,13% Off,319 Đã bán,(134),Hồ Chí Minh,4.890.000 ₫,18.300 ₫,98%,100%,90%,0,0,1,0,133
dien thoai,4.239.000 ₫,34% Off,99 Đã bán,(55),Vĩnh Phúc,6.420.000 ₫,43.900 ₫,100%,100%,100%,0,0,0,2,53
dien thoai,4.209.000 ₫,16% Off,,,Bến Tre,4.990.000 ₫,28.700 ₫,99%,100%,100%,0,0,0,0,0
dien thoai,28.791.000 ₫,10% Off,,,Hà Nội,31.990.200 ₫,,92%,,33%,0,0,0,0,0
dien thoai,23.391.000 ₫,10% Off,,,Hà Nội,27.490.000 ₫,,92%,,33%,0,0,0,0,0
dien thoai,14.122.403 ₫,9% Off,69 Đã bán,(18),Hà Nội,17.990.000 ₫,13.700 ₫,95%,100%,100%,0,1,0,0,17
dien thoai,11.800.000 ₫,,,,Nam Định,,37.700 ₫,87%,80%,100%,0,0,0,0,0
dien thoai,4.199.000 ₫,16% Off,,(1),Hồ Chí Minh,4.990.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,1
dien thoai,4.190.000 ₫,42% Off,5 Đã bán,(3),Hồ Chí Minh,7.190.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,3
dien thoai,4.189.000 ₫,14% Off,41 Đã bán,(3),Bến Tre,4.890.000 ₫,28.700 ₫,98%,100%,100%,0,0,0,0,3
dien thoai,4.174.900 ₫,15% Off,426 Đã bán,(135),Hồ Chí Minh,4.890.000 ₫,18.300 ₫,99%,99%,95%,0,0,2,2,131
dien thoai,4.160.000 ₫,24% Off,27 Đã bán,(9),Hồ Chí Minh,5.490.000 ₫,20.100 ₫,99%,99%,95%,0,0,0,1,8
dien thoai,4.090.000 ₫,40% Off,,,Hà Nội,6.790.000 ₫,Miễn phí,,,100%,0,0,0,0,0
dien thoai,4.085.000 ₫,18% Off,,,Hồ Chí Minh,4.990.000 ₫,16.500 ₫,98%,82%,100%,0,0,0,0,0
dien thoai,4.050.000 ₫,19% Off,767 Đã bán,(287),Hồ Chí Minh,4.990.000 ₫,,91%,99%,100%,0,0,0,1,286
dien thoai,3.997.000 ₫,20% Off,43 Đã bán,(11),Hồ Chí Minh,4.990.000 ₫,16.500 ₫,98%,100%,66%,0,0,0,0,11
dien thoai,3.990.000 ₫,,,,Hồ Chí Minh,,18.300 ₫,99%,99%,95%,0,0,0,0,0
dien thoai,3.990.000 ₫,20% Off,,,Long An,4.990.000 ₫,28.700 ₫,99%,100%,91%,0,0,0,0,0
dien thoai,3.990.000 ₫,11% Off,47 Đã bán,(26),Hồ Chí Minh,4.490.000 ₫,Miễn phí,100%,,100%,0,0,0,0,26
dien thoai,3.930.000 ₫,46% Off,20 Đã bán,(9),Hồ Chí Minh,7.290.000 ₫,18.300 ₫,98%,100%,90%,0,0,0,0,9
dien thoai,3.905.000 ₫,17% Off,6 Đã bán,(3),Hà Nội,4.690.000 ₫,38.000 ₫,98%,100%,90%,0,0,0,0,3
dien thoai,3.839.000 ₫,15% Off,1.2K Đã bán,(559),Hồ Chí Minh,4.490.000 ₫,16.500 ₫,99%,100%,76%,3,0,3,8,545
dien thoai,3.790.000 ₫,24% Off,259 Đã bán,(96),Hồ Chí Minh,4.990.000 ₫,18.300 ₫,97%,100%,,0,1,1,3,91
dien thoai,3.690.000 ₫,12% Off,5 Đã bán,(2),Hà Nội,4.200.000 ₫,64.800 ₫,95%,100%,100%,0,0,0,0,2
dien thoai,3.689.000 ₫,21% Off,87 Đã bán,(40),Hồ Chí Minh,4.690.000 ₫,16.500 ₫,99%,100%,76%,0,0,1,1,38
dien thoai,3.599.000 ₫,28% Off,1.7K Đã bán,(471),Bến Tre,4.990.000 ₫,32.200 ₫,98%,100%,100%,2,0,0,5,464
dien thoai,3.590.000 ₫,28% Off,,,Hà Nội,4.990.000 ₫,Miễn phí,,,100%,0,0,0,0,0
dien thoai,3.490.000 ₫,17% Off,,(1),Hà Nội,4.229.000 ₫,38.000 ₫,88%,100%,,0,0,0,0,2
dien thoai,3.490.000 ₫,30% Off,19 Đã bán,(6),Hồ Chí Minh,4.990.000 ₫,16.500 ₫,99%,100%,76%,2,0,0,1,4
dien thoai,3.488.000 ₫,27% Off,100 Đã bán,(51),Nghệ An,4.758.000 ₫,37.700 ₫,94%,91%,90%,0,0,0,4,47
dien thoai,3.450.000 ₫,14% Off,,(4),Hồ Chí Minh,3.990.000 ₫,18.300 ₫,99%,99%,95%,0,0,0,0,4
dien thoai,3.449.000 ₫,45% Off,42 Đã bán,(41),Hồ Chí Minh,6.299.000 ₫,16.500 ₫,97%,98%,99%,0,0,0,0,41
dien thoai,3.240.179 ₫,25% Off,88 Đã bán,(28),Hồ Chí Minh,449.000 ₫,16.500 ₫,97%,98%,99%,0,0,0,0,28
dien thoai,3.200.000 ₫,36% Off,6 Đã bán,,Hà Nội,4.990.000 ₫,,94%,,87%,0,0,0,0,0
dien thoai,3.190.000 ₫,20% Off,3.1K Đã bán,(830),Hồ Chí Minh,3.990.000 ₫,,91%,99%,100%,8,0,5,7,810
