Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,Điện thoại Samsung Galaxy S24 Plus - Hàng Chính Hãng 100%,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-hang-chinh-hang-100-i2575858874.html,24.190.000 ₫,21% Off,,,Hà Nội,26.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Ultra 5G 12GB/256GB Chính Hãng - Bảo hành độc quyền tại Di Động Việt 02 năm,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-12gb256gb-chinh-hang-bao-hanh-doc-quyen-tai-di-dong-viet-02-nam-i2623338718.html,24.140.000 ₫,29% Off,,,Hồ Chí Minh,33.990.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,82%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Plus - Độc quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-doc-quyen-online-i2575875845.html,23.600.000 ₫,13% Off,,,Hà Nội,30.490.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S22+ Plus 256 GB và 128GB,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-256-gb-va-128gb-i2538955337.html,23.391.000 ₫,10% Off,,,Hà Nội,25.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,"Điện thoại Samsung Galaxy S24 Ultra 5G (12GB/256GB) Nguyên seal, chính hãng, MỚI 100%, Màn hình:Dynamic AMOLED 2X 6.8"" Quad HD+ (2K+), Camera sau: Chính 200 MP & Phụ 50 MP, 12 MP, 10 MP,Camera trước: 12 MP, Chip:Snapdragon 8 Gen 3 for Galaxy, Pin:5000 mAh",https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-12gb256gb-nguyen-seal-chinh-hang-moi-100-man-hinhdynamic-amoled-2x-68-quad-hd-2k-camera-sau-chinh-200-mp-phu-50-mp-12-mp-10-mpcamera-truoc-12-mp-chipsnapdragon-8-gen-3-for-galaxy-pin5000-mah-i2555926099.html,23.290.000 ₫,31% Off,7 Đã bán,(3),Hồ Chí Minh,44.490.000 ₫,Miễn phí,,98%,100%,90%,['0'],['0'],['0'],['1'],['2']
dien thoai,Điện thoại Xiaomi 14 (12GB/256GB) - Chính hãng,https://www.lazada.vn/products/dien-thoai-xiaomi-14-12gb256gb-chinh-hang-i2595530790.html,22.990.000 ₫,,,,Hà Nội,,38.000 ₫,,98%,100%,92%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại OPPO FIND N3 FLIP (12GB/256GB) - Hàng chính hãng,https://www.lazada.vn/products/dien-thoai-oppo-find-n3-flip-12gb256gb-hang-chinh-hang-i2455443122.html,22.990.000 ₫,,5 Đã bán,,Hồ Chí Minh,,19.600 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,83%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện Thoại Samsung Galaxy Z Fold 4 5G - Hàng Chính Hãng Samsung VN,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-z-fold-4-5g-hang-chinh-hang-samsung-vn-i2023958183.html,22.990.000 ₫,45% Off,9 Đã bán,(1),Đà Nẵng,41.990.000 ₫,32.700 ₫,,94%,100%,100%,['0'],['0'],['0'],['0'],['1']
dien thoai,(MEGA 6.6 SALE LỚN NHẤT NĂM) Điện Thoại Sony Xperia 5 V – Điện thoại mới. Bản sắc mới,https://www.lazada.vn/products/mega-66-sale-lon-nhat-nam-dien-thoai-sony-xperia-5-v-dien-thoai-moi-ban-sac-moi-i1605350466.html,22.990.000 ₫,18% Off,16 Đã bán,(3),Bình Dương,27.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,98%,Không đủ thông tin,97%,['0'],['0'],['0'],['0'],['6']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra - Hàng chính hãng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-hang-chinh-hang-i2231942975.html,21.490.000 ₫,35% Off,8 Đã bán,(2),Hà Nội,32.990.000 ₫,51.500 ₫,,94%,96%,100%,['0'],['0'],['0'],['0'],['2']
