Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,"ASUS máy tính xách tay mới tinh Intel core i7 máy tính xách tay 15, 6 inch với hiệu quả cao 1 terabyte bộ nhớ Windows 11 2 năm bảo hành laptop",https://www.lazada.vn/products/asus-may-tinh-xach-tay-moi-tinh-intel-core-i7-may-tinh-xach-tay-15-6-inch-voi-hieu-qua-cao-1-terabyte-bo-nho-windows-11-2-nam-bao-hanh-laptop-i2634211791.html,7.254.959 ₫,45% Off,16 Đã bán,(3),Hải Phòng,13.199.999 ₫,Miễn phí,,100%,100%,80%,['0'],['0'],['0'],['0'],['3']
laptop,"Laptop HP Probook / Intel Core i5 ~ 2.4Ghz / Ram 8G / Ổ SSD 128G / Windows 10Pro / Chơi game, học tập, giải trí / Tặng kèm chuột + lót chuột",https://www.lazada.vn/products/laptop-hp-probook-intel-core-i5-24ghz-ram-8g-o-ssd-128g-windows-10pro-choi-game-hoc-tap-giai-tri-tang-kem-chuot-lot-chuot-i865448194.html,2.550.000 ₫,20% Off,33 Đã bán,(9),Hà Nội,3.200.000 ₫,52.400 ₫,,91%,75%,100%,['0'],['0'],['0'],['0'],['9']
laptop,"Lenovo mới tinh core Intel i7 6560U laptop 15, 6 inch 1 terabyte bộ nhớ Windows11 hệ thống RAM16GB máy tính laptop",https://www.lazada.vn/products/lenovo-moi-tinh-core-intel-i7-6560u-laptop-15-6-inch-1-terabyte-bo-nho-windows11-he-thong-ram16gb-may-tinh-laptop-i2629832469.html,7.223.999 ₫,"52% Off
LazFlash Sale,kết thúc sau 9h",51 Đã bán,(5),Hải Phòng,13.899.999 ₫,Miễn phí,,100%,100%,80%,['0'],['0'],['0'],['0'],['5']
laptop,Lenovo new Intel core i5 laptop laptop 14 inch Windows11/MSoffice hd màn hình RAM 12GB SSD128GB 2 năm bảo hành,https://www.lazada.vn/products/lenovo-new-intel-core-i5-laptop-laptop-14-inch-windows11msoffice-hd-man-hinh-ram-12gb-ssd128gb-2-nam-bao-hanh-i2633234838.html,4.351.599 ₫,48% Off,25 Đã bán,(5),Hải Phòng,8.299.999 ₫,Miễn phí,,100%,100%,80%,['0'],['0'],['0'],['0'],['5']
laptop,Laptop mini hàng đẹp,https://www.lazada.vn/products/laptop-mini-hang-dep-i2631523178.html,902.899 ₫,25% Off,11 Đã bán,(2),Hưng Yên,1.499.999 ₫,70.000 ₫,,86%,100%,88%,['1'],['0'],['0'],['0'],['2']
laptop,Lenovo Laptop 14 FHD Màn hình Intel Core i5 12GB RAM 128GB SSD Ultra HD Card đồ họa 600 Windows 11 Professional Student Laptop Chơi game với WiFi Bluetooth,https://www.lazada.vn/products/lenovo-laptop-14-fhd-man-hinh-intel-core-i5-12gb-ram-128gb-ssd-ultra-hd-card-do-hoa-600-windows-11-professional-student-laptop-choi-game-voi-wifi-bluetooth-i2361371890.html,4.804.919 ₫,44% Off,97 Đã bán,(23),Hải Phòng,8.599.999 ₫,51.100 ₫,,88%,100%,100%,['3'],['0'],['1'],['0'],['20']
laptop,LAPTOP DELL 7373 2 IN1 CORE I7 8550U RAM 8G SSD 256G 13.3INCH FHD IPS TOUCH,https://www.lazada.vn/products/laptop-dell-7373-2-in1-core-i7-8550u-ram-8g-ssd-256g-133inch-fhd-ips-touch-i2626032336.html,8.600.000 ₫,33% Off,,,Hồ Chí Minh,12.800.000 ₫,Miễn phí,,96%,100%,100%,['0'],['0'],['0'],['0'],['0']
laptop,Delux M600 Series Có Dây & không dây sạc lại được Chuột chơi game DPI Max 26000 Paw3395 Paw3311 52G Superlight Trọng Lượng Khối lượng-Tập Trung Thiết Kế Cho PC/Máy Tính Xách Tay/Windows,https://www.lazada.vn/products/delux-m600-series-co-day-khong-day-sac-lai-duoc-chuot-choi-game-dpi-max-26000-paw3395-paw3311-52g-superlight-trong-luong-khoi-luong-tap-trung-thiet-ke-cho-pcmay-tinh-xach-taywindows-i2632637103.html,499.000 ₫,64% Off,131 Đã bán,(22),Nước ngoài,1.400.916 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,98%,100%,['0'],['0'],['0'],['0'],['22']
laptop,Laptop game và đồ họa giá tốt HP 6470b Core i5 3210M Ram 4G SSD 120G VGA HD 4000 Màn 14 inch,https://www.lazada.vn/products/laptop-game-va-do-hoa-gia-tot-hp-6470b-core-i5-3210m-ram-4g-ssd-120g-vga-hd-4000-man-14-inch-i263688525.html,1.300.000 ₫,28% Off,83 Đã bán,(41),Hà Nội,,74.400 ₫,,92%,50%,85%,['0'],['0'],['0'],['6'],['35']
laptop,Laptop Dell Latitude E7270 ram 8G SSD 256G - Core i5 6200u Gọn nhẹ thời trang,https://www.lazada.vn/products/laptop-dell-latitude-e7270-ram-8g-ssd-256g-core-i5-6200u-gon-nhe-thoi-trang-i2302316653.html,3.248.000 ₫,10% Off,64 Đã bán,(28),Nghệ An,3.598.000 ₫,56.800 ₫,,94%,92%,92%,['0'],['0'],['0'],['0'],['28']
laptop,Laptop Dell Latitude E5480 màn 14 inch Ram 8G SSD 256G - Core i5 6200U Likenew,https://www.lazada.vn/products/laptop-dell-latitude-e5480-man-14-inch-ram-8g-ssd-256g-core-i5-6200u-likenew-i2272620468.html,3.258.000 ₫,19% Off,73 Đã bán,(32),Nghệ An,3.998.000 ₫,56.800 ₫,,94%,92%,92%,['0'],['0'],['1'],['0'],['31']
laptop,Laptop cũ giá rẻ - Máy tính zin ram 4GB ổ 250gb chính hãng nhanh zin rất bền đầy đủ phụ kiện,https://www.lazada.vn/products/laptop-cu-gia-re-may-tinh-zin-ram-4gb-o-250gb-chinh-hang-nhanh-zin-rat-ben-day-du-phu-kien-i2178969427.html,1.200.000 ₫,48% Off,24 Đã bán,(11),Hồ Chí Minh,2.300.000 ₫,Miễn phí,,91%,100%,100%,['0'],['1'],['0'],['1'],['9']
laptop,"Máy tính Laptop Dell Laititude 7490 Core i5, Ram 8, SSD 256, 14inch Full HD",https://www.lazada.vn/products/may-tinh-laptop-dell-laititude-7490-core-i5-ram-8-ssd-256-14inch-full-hd-i2010015724.html,6.000.000 ₫,,136 Đã bán,(42),Nam Định,,56.800 ₫,,99%,100%,100%,['0'],['0'],['0'],['0'],['42']
laptop,[Trả Góp 0% đến 12 Tháng] MacBook Air 15 inch M2 2023 - Hàng Chính Hãng,https://www.lazada.vn/products/tra-gop-0-den-12-thang-macbook-air-15-inch-m2-2023-hang-chinh-hang-i2370568169.html,27.590.000 ₫,16% Off,147 Đã bán,(3),Bắc Ninh,32.990.000 ₫,10.200 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['0'],['0'],['0'],['0'],['4']
laptop,[Trả Góp 0% đến 12 Tháng] MacBook Air M3 13.6 inch 2024 - Hàng Chính Hãng,https://www.lazada.vn/products/tra-gop-0-den-12-thang-macbook-air-m3-136-inch-2024-hang-chinh-hang-i2624810618.html,27.290.000 ₫,3% Off,10 Đã bán,,Hồ Chí Minh,32.999.000 ₫,9.700 ₫,30 Ngày Trả Hàng Miễn Phí,94%,98%,100%,['0'],['0'],['0'],['0'],['0']
laptop,Bàn nâng di động nhỏ sofa nhỏ với ròng rọc Bàn Cạnh Giường ngủ bàn laptop đứng,https://www.lazada.vn/products/ban-nang-di-dong-nho-sofa-nho-voi-rong-roc-ban-canh-giuong-ngu-ban-laptop-dung-i2504943127.html,383.775 ₫,50% Off,193 Đã bán,(171),Nước ngoài,772.800 ₫,,,99%,Không đủ thông tin,100%,['2'],['0'],['1'],['2'],['166']
laptop,[Giá chỉ 308K] Ổ cứng SSD Laptop|PC Acer SA100 SATA 3 2.5inch tốc độ tối đa560MB/s - Bộ nhớ flash 3D NAND - 120GB| 240GB | 480GB | 960GB - Hàng chính hãng bảo hành 3 năm,https://www.lazada.vn/products/gia-chi-308k-o-cung-ssd-laptoppc-acer-sa100-sata-3-25inch-toc-do-toi-da560mbs-bo-nho-flash-3d-nand-120gb-240gb-480gb-960gb-hang-chinh-hang-bao-hanh-3-nam-i1951785802.html,690.000 ₫,12% Off,1.5K Đã bán,(430),Hồ Chí Minh,1.670.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,98%,100%,100%,['11'],['0'],['7'],['3'],['409']
laptop,Delux M800 PRO PAW3395 Chuột Chơi Game DPI MAX 26000 Có Dây 2.4G Bluetooth Không Dây Sạc Có Thể Lập Trình 72g Nhẹ Cho PC/Laptop/Windows,https://www.lazada.vn/products/delux-m800-pro-paw3395-chuot-choi-game-dpi-max-26000-co-day-24g-bluetooth-khong-day-sac-co-the-lap-trinh-72g-nhe-cho-pclaptopwindows-i2334974055.html,619.000 ₫,"65% Off
LazFlash Sale,kết thúc sau 9h",988 Đã bán,(317),Nước ngoài,1.750.000 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,98%,100%,['2'],['4'],['5'],['12'],['294']
laptop,"Laptop Dell Precision 7520 ( i7-6820HQ, RAM 8G, SSD 256G, VGA NVIDIA Quadro M1200- 4G, màn 15.6″)",https://www.lazada.vn/products/laptop-dell-precision-7520-i7-6820hq-ram-8g-ssd-256g-vga-nvidia-quadro-m1200-4g-man-156-i2600980969.html,3.111.000 ₫,49% Off,,,Hà Nội,6.100.000 ₫,Miễn phí,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,Laptop Dell 7240. Mỏng nhẹ giá tốt.,https://www.lazada.vn/products/laptop-dell-7240-mong-nhe-gia-tot-i2212086652.html,12.000.000 ₫,,,,Thái Nguyên,,43.900 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
laptop,"Laptop Dell Precision 7710 cấu hình cao, dòng máy trạm cao cấp, Core i7, Ram 8gb, ổ cứng SSD 256gb, VGA M3000M, màn hình 15.6 Full HD, laptop giá tốt",https://www.lazada.vn/products/laptop-dell-precision-7710-cau-hinh-cao-dong-may-tram-cao-cap-core-i7-ram-8gb-o-cung-ssd-256gb-vga-m3000m-man-hinh-156-full-hd-laptop-gia-tot-i2474420303.html,8.000.000 ₫,32% Off,74 Đã bán,(7),Hà Nội,11.800.000 ₫,84.600 ₫,,98%,100%,100%,['0'],['0'],['0'],['0'],['7']
laptop,Máy tính laptop cấu hình đời cao chip I3 siêu khoẻ giá ưu đãi trong 7 ngày,https://www.lazada.vn/products/may-tinh-laptop-cau-hinh-doi-cao-chip-i3-sieu-khoe-gia-uu-dai-trong-7-ngay-i2605474115.html,1.089.839 ₫,16% Off,,(3),Hưng Yên,1.399.999 ₫,80.200 ₫,,86%,100%,88%,['0'],['0'],['0'],['0'],['3']
laptop,Laptop Dell Inspiron 14-7430 (2-in-1) | Intel Core i7-1355U | Ram 16GB | SSD 1TB | 14 inch FHD+ (1920x1200) Touch screen | Platinum Silver | NEW OPEN BOX | BH 11-01-2025,https://www.lazada.vn/products/laptop-dell-inspiron-14-7430-2-in-1-intel-core-i7-1355u-ram-16gb-ssd-1tb-14-inch-fhd-1920x1200-touch-screen-platinum-silver-new-open-box-bh-11-01-2025-i2605974644.html,19.800.000 ₫,,,,Hồ Chí Minh,,74.700 ₫,,92%,20%,90%,['0'],['0'],['0'],['0'],['0']
laptop,"Laptop Lenovo Gaming Legion 5 Pro 16ARH7H R7 6800H/16GB/512GB/16""/Nvidia RTX 3060 6GB/Win 11",https://www.lazada.vn/products/laptop-lenovo-gaming-legion-5-pro-16arh7h-r7-6800h16gb512gb16nvidia-rtx-3060-6gbwin-11-i2410846713.html,46.490.000 ₫,,38 Đã bán,,Hồ Chí Minh,,,30 Ngày Trả Hàng Miễn Phí,96%,Không đủ thông tin,83%,['0'],['0'],['0'],['0'],['0']
laptop,Máy tính xách tay/ Laptop Lenovo Ideapad Slim 5 Light 14ABR8 - 82XS0007VN (AMD Ryzen 7-7730U) (Xám) - Bảo hành 36 tháng,https://www.lazada.vn/products/may-tinh-xach-tay-laptop-lenovo-ideapad-slim-5-light-14abr8-82xs0007vn-amd-ryzen-7-7730u-xam-bao-hanh-36-thang-i2420551940.html,14.790.000 ₫,22% Off,,,Hồ Chí Minh,18.990.000 ₫,21.200 ₫,,97%,99%,88%,['0'],['0'],['0'],['0'],['0']
laptop,Laptop HP 14-em0085AU (835T8PA) (AMD Ryzen 3-7320U) (Bạc) - Bảo hành 12 tháng,https://www.lazada.vn/products/laptop-hp-14-em0085au-835t8pa-amd-ryzen-3-7320u-bac-bao-hanh-12-thang-i2646874171.html,8.890.000 ₫,29% Off,,,Hồ Chí Minh,12.490.000 ₫,20.100 ₫,,97%,99%,88%,['0'],['0'],['0'],['0'],['0']
laptop,Laptop HP Pavilion 15-eg3112TU i7-1355U/16GB/512GB/15.6''FHD/Win11,https://www.lazada.vn/products/laptop-hp-pavilion-15-eg3112tu-i7-1355u16gb512gb156fhdwin11-i2408829433.html,25.290.000 ₫,,5 Đã bán,,Hồ Chí Minh,,,30 Ngày Trả Hàng Miễn Phí,96%,Không đủ thông tin,83%,['0'],['0'],['0'],['0'],['0']
