Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
Trang sức,Nước Rửa Trang Sức Bạc Liugems Dung Dịch Làm Sáng Bóng Bạc Như Mới 60ml,https://www.lazada.vn/products/nuoc-rua-trang-suc-bac-liugems-dung-dich-lam-sang-bong-bac-nhu-moi-60ml-i2132090226.html,25.500 ₫,15% Off,2.3K Đã bán,(363),Hồ Chí Minh,30.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,87%,60%,['5'],['2'],['2'],['10'],['344']
Trang sức,[6.6] NHẬP MÃ 66FALAZSOCIAL80 GIẢM 15% Nước rửa trang sức Bạc ODIN - 30ml - Đánh bóng & Làm sáng trang sức Bạc,https://www.lazada.vn/products/66-nhap-ma-66falazsocial80-giam-15-nuoc-rua-trang-suc-bac-odin-30ml-danh-bong-lam-sang-trang-suc-bac-i1955823121.html,15.570 ₫,26% Off,142 Đã bán,(19),Hồ Chí Minh,21.000 ₫,16.500 ₫,,97%,99%,95%,['0'],['0'],['0'],['0'],['19']
Trang sức,"Nước rửa trang sức Hoàng Kim Jewelry, nước làm sáng bạc như mới",https://www.lazada.vn/products/nuoc-rua-trang-suc-hoang-kim-jewelry-nuoc-lam-sang-bac-nhu-moi-i2588034223.html,9.750 ₫,35% Off,26 Đã bán,(4),Hà Nội,15.000 ₫,32.700 ₫,,97%,100%,Không đủ thông tin,['0'],['0'],['0'],['0'],['4']
Trang sức,17KM Pink Crystal Bell Orchid Bracelet for Women Heart Butterfly Silver Bracelets Accessories Jewelry,https://www.lazada.vn/products/17km-pink-crystal-bell-orchid-bracelet-for-women-heart-butterfly-silver-bracelets-accessories-jewelry-i2644357316.html,9.320 ₫,59% Off,133 Đã bán,(31),Hồ Chí Minh,27.975 ₫,17.000 ₫,30 Ngày Trả Hàng Miễn Phí,96%,95%,96%,['1'],['0'],['0'],['1'],['29']
Trang sức,Nước rửa trang sức bạc TLEE dung dịch làm sáng bóng bạc như mới 50ml TleeJewelry PK0001,https://www.lazada.vn/products/nuoc-rua-trang-suc-bac-tlee-dung-dich-lam-sang-bong-bac-nhu-moi-50ml-tleejewelry-pk0001-i2105329646.html,25.403 ₫,15% Off,721 Đã bán,(119),Hải Dương,30.000 ₫,37.700 ₫,30 Ngày Trả Hàng Miễn Phí,97%,99%,84%,['0'],['0'],['0'],['1'],['118']
Trang sức,【SAWU】khuyên Môi Giả Không Lỗ Cá Tính Khuyên Môi Khuyên Mũi Trang Sức Bằng Thép Không Gỉ Khuyên Mũi Đinh,https://www.lazada.vn/products/sawukhuyen-moi-gia-khong-lo-ca-tinh-khuyen-moi-khuyen-mui-trang-suc-bang-thep-khong-gi-khuyen-mui-dinh-i1862446806.html,9.500 ₫,47% Off,157 Đã bán,(15),Nước ngoài,18.000 ₫,17.000 ₫,,95%,93%,100%,['1'],['1'],['1'],['0'],['12']
Trang sức,Nước rửa trang sức bạc Vàng Bạc Ngọc Tiến,https://www.lazada.vn/products/nuoc-rua-trang-suc-bac-vang-bac-ngoc-tien-i1946860249.html,15.000 ₫,25% Off,351 Đã bán,(63),Hà Nội,35.000 ₫,32.700 ₫,,97%,100%,Không đủ thông tin,['2'],['0'],['2'],['4'],['55']
Trang sức,1pc Quà Tặng Quyến Rũ CHUAN Trang Sức Mạ Vàng 14K Chạm Khắc Cổ Điển Đính Hôn Nhẫn Ngọc Trai Trắng,https://www.lazada.vn/products/1pc-qua-tang-quyen-ru-chuan-trang-suc-ma-vang-14k-cham-khac-co-dien-dinh-hon-nhan-ngoc-trai-trang-i1943210986.html,20.780 ₫,54% Off,189 Đã bán,(62),Hồ Chí Minh,45.000 ₫,17.000 ₫,,96%,97%,100%,['1'],['0'],['1'],['5'],['55']
Trang sức,Nhẫn cặp đôi nam nữ bạc S925 đính đá thời trang freesize,https://www.lazada.vn/products/nhan-cap-doi-nam-nu-bac-dinh-da-thoi-trang-freesize-i961512263.html,12.000 ₫,40% Off,312 Đã bán,(86),Hà Nội,50.000 ₫,32.700 ₫,,94%,100%,100%,['1'],['1'],['1'],['2'],['81']
Trang sức,Dây Chuyền Bạc Dây Phụng Sang Trọng Quí Phái BACDAYPHUNG2,https://www.lazada.vn/products/day-chuyen-bac-day-phung-sang-trong-qui-phai-bacdayphung2-i2406919619.html,53.307 ₫,52% Off,249 Đã bán,(48),Hồ Chí Minh,112.000 ₫,16.500 ₫,,87%,100%,100%,['2'],['1'],['1'],['1'],['43']
