Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,9.999.000 ₫,26% Off,,,Hồ Chí Minh,4.800.000 ₫,23.800 ₫,96%,100%,100%,0,0,0,0,1
laptop,12.000.000 ₫,,,,Thái Nguyên,,43.900 ₫,,,,0,0,0,0,0
laptop,6.851.459 ₫,24% Off,,,Hồ Chí Minh,9.999.999 ₫,Miễn phí,97%,,100%,0,0,0,0,27
laptop,2.700.000 ₫,36% Off,,,Hồ Chí Minh,4.200.000 ₫,20.100 ₫,88%,100%,,0,0,0,0,1
laptop,6.950.000 ₫,,,,Hồ Chí Minh,,Miễn phí,96%,100%,93%,0,0,0,0,0
laptop,6.414.925 ₫,"52% Off
Áp dụng voucher",,,Hồ Chí Minh,12.999.999 ₫,Miễn phí,97%,81%,100%,1,0,0,0,18
laptop,4.600.000 ₫,,,,Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,1
laptop,240.000 ₫,,,,Hồ Chí Minh,12.999.999 ₫,Miễn phí,97%,81%,100%,1,0,0,0,18
laptop,12.870.000 ₫,20% Off,,,Hà Nội,15.990.000 ₫,74.400 ₫,98%,100%,92%,0,0,0,0,2
laptop,21.799.000 ₫,13% Off,,,Hồ Chí Minh,25.000.000 ₫,23.800 ₫,93%,100%,,0,0,0,0,0
laptop,8.275.139 ₫,"36% Off
Áp dụng voucher",,,Hồ Chí Minh,13.999.999 ₫,Miễn phí,97%,81%,100%,0,0,0,0,4
laptop,11.200.000 ₫,44% Off,,,Hồ Chí Minh,20.000.000 ₫,1.200 ₫,99%,75%,100%,0,0,0,0,0
laptop,6.047.091 ₫,45% Off,,,Hà Nội,11.000.000 ₫,38.000 ₫,94%,100%,76%,0,0,0,0,5
laptop,2.789.000 ₫,20% Off,,,Quảng Trị,4.199.000 ₫,70.000 ₫,97%,,,0,0,0,4,62
laptop,7.850.000 ₫,43% Off,,,Hồ Chí Minh,13.800.000 ₫,27.300 ₫,96%,100%,,0,0,0,0,4
laptop,14.590.000 ₫,23% Off,,,Hồ Chí Minh,18.990.000 ₫,10.200 ₫,97%,98%,85%,0,0,0,0,0
laptop,16.290.000 ₫,4% Off,,,Hồ Chí Minh,16.990.000 ₫,,96%,,83%,0,0,0,0,1
laptop,19.100.000 ₫,9% Off,,,Hồ Chí Minh,20.990.000 ₫,Miễn phí,94%,86%,100%,0,0,0,0,0
laptop,10.290.000 ₫,21% Off,,,Hồ Chí Minh,12.990.000 ₫,10.200 ₫,97%,98%,85%,0,0,0,0,0
laptop,15.000.000 ₫,12% Off,,,Hồ Chí Minh,16.990.000 ₫,Miễn phí,94%,86%,100%,0,0,0,0,0
laptop,35.990.000 ₫,,,,Hồ Chí Minh,,27.300 ₫,,,,0,0,0,0,0
laptop,20.143.200 ₫,25% Off,,,Hồ Chí Minh,44.899.000 ₫,Miễn phí,97%,100%,100%,0,0,0,0,0
laptop,5.900.000 ₫,31% Off,,,Thanh Hóa,8.500.000 ₫,56.800 ₫,96%,100%,75%,0,0,0,0,0
laptop,20.950.000 ₫,7% Off,,,Hồ Chí Minh,22.590.000 ₫,Miễn phí,94%,86%,100%,0,0,0,0,0
laptop,5.800.000 ₫,,,,Hà Nội,,Miễn phí,98%,100%,100%,0,0,0,0,0
laptop,17.990.000 ₫,38% Off,3.0K Đã bán,(666),Bắc Ninh,28.990.000 ₫,10.200 ₫,94%,98%,100%,28,5,10,17,606
laptop,14.900.000 ₫,,,,Hồ Chí Minh,,27.300 ₫,,,,0,0,0,0,0
laptop,3.200.000 ₫,50% Off,,,Hà Nội,6.400.000 ₫,Miễn phí,,,,0,0,0,0,0
laptop,10.490.000 ₫,19% Off,351 Đã bán,(108),Hồ Chí Minh,12.990.000 ₫,21.200 ₫,98%,77%,66%,3,0,0,1,104
laptop,7.254.959 ₫,45% Off,16 Đã bán,(3),Hải Phòng,13.199.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,3
laptop,2.550.000 ₫,20% Off,33 Đã bán,(9),Hà Nội,3.200.000 ₫,52.400 ₫,91%,75%,100%,0,0,0,0,9
laptop,7.223.999 ₫,"52% Off
LazFlash Sale,kết thúc sau 9h",51 Đã bán,(5),Hải Phòng,13.899.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,5
laptop,4.351.599 ₫,48% Off,25 Đã bán,(5),Hải Phòng,8.299.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,5
laptop,902.899 ₫,25% Off,11 Đã bán,(2),Hưng Yên,1.499.999 ₫,70.000 ₫,86%,100%,88%,1,0,0,0,2
laptop,4.804.919 ₫,44% Off,97 Đã bán,(23),Hải Phòng,8.599.999 ₫,51.100 ₫,88%,100%,100%,3,0,1,0,20
laptop,8.600.000 ₫,33% Off,,,Hồ Chí Minh,12.800.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,0
laptop,499.000 ₫,64% Off,131 Đã bán,(22),Nước ngoài,1.400.916 ₫,17.000 ₫,96%,98%,100%,0,0,0,0,22
laptop,1.300.000 ₫,28% Off,83 Đã bán,(41),Hà Nội,,74.400 ₫,92%,50%,85%,0,0,0,6,35
laptop,3.248.000 ₫,10% Off,64 Đã bán,(28),Nghệ An,3.598.000 ₫,56.800 ₫,94%,92%,92%,0,0,0,0,28
laptop,3.258.000 ₫,19% Off,73 Đã bán,(32),Nghệ An,3.998.000 ₫,56.800 ₫,94%,92%,92%,0,0,1,0,31
laptop,1.200.000 ₫,48% Off,24 Đã bán,(11),Hồ Chí Minh,2.300.000 ₫,Miễn phí,91%,100%,100%,0,1,0,1,9
laptop,6.000.000 ₫,,136 Đã bán,(42),Nam Định,,56.800 ₫,99%,100%,100%,0,0,0,0,42
laptop,27.590.000 ₫,16% Off,147 Đã bán,(3),Bắc Ninh,32.990.000 ₫,10.200 ₫,94%,98%,100%,0,0,0,0,4
laptop,27.290.000 ₫,3% Off,10 Đã bán,,Hồ Chí Minh,32.999.000 ₫,9.700 ₫,94%,98%,100%,0,0,0,0,0
laptop,383.775 ₫,50% Off,193 Đã bán,(171),Nước ngoài,772.800 ₫,,99%,,100%,2,0,1,2,166
laptop,690.000 ₫,12% Off,1.5K Đã bán,(430),Hồ Chí Minh,1.670.000 ₫,18.300 ₫,98%,100%,100%,11,0,7,3,409
laptop,619.000 ₫,"65% Off
LazFlash Sale,kết thúc sau 9h",988 Đã bán,(317),Nước ngoài,1.750.000 ₫,17.000 ₫,96%,98%,100%,2,4,5,12,294
laptop,3.111.000 ₫,49% Off,,,Hà Nội,6.100.000 ₫,Miễn phí,,,,0,0,0,0,0
