Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,3.939.000 ₫,21% Off,50 Đã bán,(15),Hồ Chí Minh,5.000.000 ₫,,98%,100%,99%,0,0,0,0,15
tivi,6.329.000 ₫,28% Off,51 Đã bán,(19),Hồ Chí Minh,9.220.000 ₫,,98%,100%,99%,0,0,0,0,19
tivi,6.250.000 ₫,34% Off,21 Đã bán,(6),Hồ Chí Minh,9.500.000 ₫,,97%,,78%,0,0,0,0,7
tivi,6.150.000 ₫,28% Off,49 Đã bán,(12),Hồ Chí Minh,8.590.000 ₫,,96%,,89%,0,0,0,0,12
tivi,4.390.000 ₫,37% Off,385 Đã bán,(121),Hà Nội,6.990.000 ₫,,98%,,,2,0,0,1,119
tivi,7.161.000 ₫,28% Off,9 Đã bán,(7),Hồ Chí Minh,10.000.000 ₫,,98%,100%,99%,0,0,1,1,5
tivi,8.580.000 ₫,28% Off,,,Hồ Chí Minh,11.900.000 ₫,,100%,,,0,0,0,0,0
tivi,7.163.000 ₫,45% Off,,(1),Hồ Chí Minh,12.990.000 ₫,,97%,,78%,0,0,0,0,1
tivi,9.290.000 ₫,19% Off,,(0),Hồ Chí Minh,11.490.000 ₫,,96%,,81%,0,0,0,0,1
tivi,2.000.000 ₫,,,,Hồ Chí Minh,,23.800 ₫,,,,0,0,0,0,0
tivi,5.590.000 ₫,,5 Đã bán,,Hồ Chí Minh,,,99%,,100%,0,0,0,0,0
tivi,3.600.000 ₫,,,(1),Hà Nội,,,,,,0,0,0,0,1
tivi,3.759.000 ₫,25% Off,,(2),Hồ Chí Minh,5.000.000 ₫,,97%,,96%,0,0,0,0,2
tivi,3.990.000 ₫,23% Off,,,Hồ Chí Minh,5.150.000 ₫,59.400 ₫,,,,0,0,0,0,0
tivi,200.000 ₫,,14 Đã bán,(6),Hồ Chí Minh,,16.500 ₫,99%,100%,,0,0,0,0,6
tivi,15.790.000 ₫,12% Off,,(1),Bình Dương,17.900.000 ₫,,98%,,97%,0,0,0,0,1
tivi,1.397.000 ₫,7% Off,,(4),Hà Nội,1.499.000 ₫,198.200 ₫,91%,90%,96%,0,0,0,0,4
tivi,10.190.000 ₫,46% Off,,,Hồ Chí Minh,18.990.000 ₫,337.400 ₫,,,100%,0,0,0,0,0
tivi,22.222.000 ₫,68% Off,5 Đã bán,,Hồ Chí Minh,69.990.000 ₫,448.600 ₫,99%,100%,100%,0,0,0,0,0
tivi,3.709.000 ₫,38% Off,10 Đã bán,(3),Hồ Chí Minh,6.000.000 ₫,,98%,100%,99%,0,0,0,0,3
tivi,3.790.000 ₫,36% Off,,,Hà Nội,5.900.000 ₫,,99%,,100%,0,0,0,0,0
tivi,17.790.000 ₫,19% Off,,,Bình Dương,21.900.000 ₫,,98%,,97%,0,0,0,0,0
tivi,450.000 ₫,,,,Hà Nội,,32.700 ₫,96%,100%,66%,0,0,0,0,0
tivi,13.990.000 ₫,13% Off,6 Đã bán,,Hồ Chí Minh,15.990.000 ₫,,98%,98%,96%,0,0,0,0,0
tivi,8.490.000 ₫,42% Off,6 Đã bán,(4),Hồ Chí Minh,14.690.000 ₫,102.400 ₫,97%,100%,88%,0,0,0,0,4
tivi,1.500.000 ₫,5% Off,,(1),Hà Nội,1.580.000 ₫,198.200 ₫,91%,90%,96%,0,0,0,0,1
tivi,14.490.000 ₫,,,,Hồ Chí Minh,,Miễn phí,96%,100%,100%,0,0,0,0,0
tivi,7.090.000 ₫,41% Off,,,Hồ Chí Minh,11.990.000 ₫,,97%,98%,89%,0,0,0,0,0
tivi,10.689.000 ₫,33% Off,,,Hà Nội,15.990.000 ₫,,,,100%,0,0,0,0,0
tivi,37.995.000 ₫,5% Off,,(1),Hồ Chí Minh,39.990.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,1
tivi,8.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",1.1K Đã bán,(235),Hồ Chí Minh,12.900.000 ₫,159.200 ₫,,100%,94%,1,0,0,2,232
tivi,13.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",528 Đã bán,(176),Hồ Chí Minh,19.400.000 ₫,238.400 ₫,,100%,94%,1,0,1,1,173
tivi,11.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",324 Đã bán,(64),Hồ Chí Minh,15.900.000 ₫,258.200 ₫,,100%,94%,1,0,0,2,61
tivi,8.189.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",103 Đã bán,(26),Hồ Chí Minh,11.400.000 ₫,131.600 ₫,,100%,94%,0,0,0,1,25
tivi,3.990.000 ₫,,,,Hà Nội,7.990.000 ₫,,,,100%,0,0,0,0,0
tivi,8.600.000 ₫,,15 Đã bán,(2),Hồ Chí Minh,15.900.000 ₫,,99%,,97%,0,0,0,0,2
tivi,8.920.000 ₫,,23 Đã bán,(5),Hồ Chí Minh,16.900.000 ₫,,99%,,97%,0,0,0,0,5
tivi,6.289.000 ₫,,167 Đã bán,(57),Hồ Chí Minh,7.900.000 ₫,,99%,,97%,1,0,0,0,56
tivi,6.490.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",496 Đã bán,(144),Hồ Chí Minh,10.490.000 ₫,Miễn phí,96%,100%,100%,2,1,1,1,140
tivi,7.889.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",99 Đã bán,(36),Hồ Chí Minh,10.900.000 ₫,74.700 ₫,,100%,94%,0,0,0,0,36
tivi,20.692 ₫,,76 Đã bán,(17),Nước ngoài,30.815 ₫,17.000 ₫,93%,100%,100%,0,0,0,0,17
tivi,7.450.000 ₫,,18 Đã bán,(10),Hồ Chí Minh,9.990.000 ₫,,97%,,78%,0,0,0,0,10
tivi,110.000 ₫,,42 Đã bán,(17),Hà Nội,190.000 ₫,38.000 ₫,95%,100%,,0,0,0,0,18
tivi,230.000 ₫,,73 Đã bán,(26),Hồ Chí Minh,,16.500 ₫,99%,100%,,0,0,0,0,26
tivi,8.090.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",1.7K Đã bán,(683),Hồ Chí Minh,13.990.000 ₫,Miễn phí,96%,100%,100%,18,4,6,12,643
tivi,2.777.000 ₫,,322 Đã bán,(118),Hồ Chí Minh,4.990.000 ₫,,97%,,78%,0,1,1,1,116
tivi,5.540.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",2.2K Đã bán,(921),Hồ Chí Minh,10.990.000 ₫,46.000 ₫,97%,93%,100%,5,0,1,17,899
tivi,920.486 ₫,,77 Đã bán,(26),Hà Nội,950.000 ₫,115.100 ₫,91%,95%,93%,0,0,0,3,24
tivi,99.000 ₫,,908 Đã bán,(220),Hồ Chí Minh,,18.300 ₫,94%,100%,,3,3,2,8,205
tivi,11.589.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",86 Đã bán,(25),Hồ Chí Minh,15.900.000 ₫,146.000 ₫,,100%,94%,0,0,1,0,24
tivi,2.399.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,,,,0,0,0,0,0
tivi,2.151.660 ₫,,28 Đã bán,(12),Hà Nội,2.350.000 ₫,198.200 ₫,91%,95%,93%,1,0,0,0,11
tivi,1.100.000 ₫,,10 Đã bán,(3),Hồ Chí Minh,,71.100 ₫,85%,100%,65%,0,0,0,0,3
tivi,3.989.000 ₫,,,,Hà Nội,,278.100 ₫,97%,99%,100%,0,0,0,0,0
tivi,370.000 ₫,,,(1),Tiền Giang,,28.700 ₫,96%,100%,100%,0,0,0,0,1
tivi,120.000 ₫,,12 Đã bán,(7),Tiền Giang,,28.700 ₫,96%,100%,100%,0,0,0,0,7
tivi,3.200.000 ₫,,,(2),Hồ Chí Minh,3.500.000 ₫,74.700 ₫,85%,100%,65%,0,0,0,0,2
tivi,1.300.000 ₫,,,,Hồ Chí Minh,,23.800 ₫,,,,0,0,0,0,0
tivi,2.000.000 ₫,,,,Hồ Chí Minh,,23.800 ₫,,,,0,0,0,0,0
tivi,100.000 ₫,,301 Đã bán,(89),Hồ Chí Minh,,16.500 ₫,99%,100%,,3,0,0,2,84
